time,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2025-06-15 00:00:00,28.8,91,7.8,0.0
2025-06-15 01:00:00,28.5,92,6.9,0.0
2025-06-15 02:00:00,28.3,93,8.0,0.0
2025-06-15 03:00:00,28.2,94,8.5,0.0
2025-06-15 04:00:00,28.1,93,8.9,0.0
2025-06-15 05:00:00,28.4,91,8.7,0.0
2025-06-15 06:00:00,28.4,89,9.0,0.0
2025-06-15 07:00:00,28.6,88,9.4,0.0
2025-06-15 08:00:00,29.0,86,8.9,0.0
2025-06-15 09:00:00,29.7,82,8.8,0.0
2025-06-15 10:00:00,30.5,78,9.5,0.0
2025-06-15 11:00:00,31.1,73,9.2,0.0
2025-06-15 12:00:00,31.6,71,11.8,0.0
2025-06-15 13:00:00,31.9,70,14.4,0.0
2025-06-15 14:00:00,32.1,70,16.6,0.0
2025-06-15 15:00:00,32.0,71,18.5,0.0
2025-06-15 16:00:00,31.7,71,19.3,0.0
2025-06-15 17:00:00,31.6,71,18.6,0.0
2025-06-15 18:00:00,31.0,75,17.4,0.0
2025-06-15 19:00:00,30.3,80,14.5,0.0
2025-06-15 20:00:00,29.8,82,12.9,0.0
2025-06-15 21:00:00,29.6,84,13.2,0.0
2025-06-15 22:00:00,29.5,85,12.1,0.0
2025-06-15 23:00:00,29.8,85,3.6,0.0
2025-06-16 00:00:00,29.6,85,5.4,0.0
2025-06-16 01:00:00,29.5,85,6.0,0.0
2025-06-16 02:00:00,29.4,85,5.7,0.0
2025-06-16 03:00:00,29.2,85,4.6,0.0
2025-06-16 04:00:00,29.1,85,3.7,0.0
2025-06-16 05:00:00,29.1,86,0.7,0.0
2025-06-16 06:00:00,28.9,87,1.1,0.0
2025-06-16 07:00:00,29.1,86,1.8,0.0
2025-06-16 08:00:00,29.9,79,2.6,0.0
2025-06-16 09:00:00,31.2,70,4.5,0.0
2025-06-16 10:00:00,32.2,66,7.4,0.0
2025-06-16 11:00:00,33.5,63,7.4,0.0
2025-06-16 12:00:00,34.3,57,10.9,0.0
2025-06-16 13:00:00,34.6,55,15.4,0.0
2025-06-16 14:00:00,34.3,58,18.0,0.0
2025-06-16 15:00:00,33.9,60,22.6,0.0
2025-06-16 16:00:00,33.3,63,24.0,0.0
2025-06-16 17:00:00,32.8,68,23.4,0.0
2025-06-16 18:00:00,31.9,74,20.9,0.0
2025-06-16 19:00:00,31.0,81,18.4,0.0
2025-06-16 20:00:00,30.5,83,12.7,0.0
2025-06-16 21:00:00,30.2,85,10.2,0.0
2025-06-16 22:00:00,30.1,86,13.8,0.0
2025-06-16 23:00:00,30.2,86,12.2,0.0
2025-06-17 00:00:00,30.1,87,10.8,0.0
2025-06-17 01:00:00,29.9,85,9.0,0.0
2025-06-17 02:00:00,29.8,84,8.7,0.0
2025-06-17 03:00:00,29.6,85,8.8,0.0
2025-06-17 04:00:00,29.4,87,9.4,0.0
2025-06-17 05:00:00,29.4,88,9.4,0.0
2025-06-17 06:00:00,29.2,89,10.2,0.0
2025-06-17 07:00:00,29.6,86,11.7,0.0
2025-06-17 08:00:00,30.3,81,14.2,0.0
2025-06-17 09:00:00,31.1,79,15.9,0.0
2025-06-17 10:00:00,32.0,73,17.7,0.0
2025-06-17 11:00:00,33.3,67,18.0,0.0
2025-06-17 12:00:00,33.8,64,20.9,0.0
2025-06-17 13:00:00,33.8,66,23.6,0.0
2025-06-17 14:00:00,33.9,63,25.3,0.0
2025-06-17 15:00:00,33.7,63,27.4,0.0
2025-06-17 16:00:00,33.3,64,29.0,0.0
2025-06-17 17:00:00,32.4,72,27.3,0.0
2025-06-17 18:00:00,31.5,77,24.8,0.0
2025-06-17 19:00:00,30.6,79,23.6,0.0
2025-06-17 20:00:00,29.8,86,20.7,0.0
2025-06-17 21:00:00,29.7,85,18.7,0.0
2025-06-17 22:00:00,29.5,85,22.7,0.0
2025-06-17 23:00:00,29.7,84,18.8,0.0
2025-06-18 00:00:00,29.6,83,18.2,0.0
2025-06-18 01:00:00,29.3,85,15.9,0.0
2025-06-18 02:00:00,29.2,85,15.9,0.0
2025-06-18 03:00:00,29.3,85,17.4,0.0
2025-06-18 04:00:00,29.2,84,20.2,0.0
2025-06-18 05:00:00,29.3,83,17.7,0.0
2025-06-18 06:00:00,29.2,83,18.6,0.0
2025-06-18 07:00:00,29.4,82,19.8,0.0
2025-06-18 08:00:00,29.9,80,21.9,0.0
2025-06-18 09:00:00,30.3,79,22.9,0.0
2025-06-18 10:00:00,31.0,76,24.2,0.0
2025-06-18 11:00:00,31.9,71,22.4,0.0
2025-06-18 12:00:00,32.2,70,23.9,0.0
2025-06-18 13:00:00,32.3,70,24.8,0.0
2025-06-18 14:00:00,32.3,71,26.4,0.0
2025-06-18 15:00:00,31.9,72,28.5,0.0
2025-06-18 16:00:00,31.3,73,28.4,0.0
2025-06-18 17:00:00,31.1,75,27.3,0.0
2025-06-18 18:00:00,30.5,78,26.5,0.0
2025-06-18 19:00:00,29.9,81,23.7,0.0
2025-06-18 20:00:00,29.5,82,21.5,0.0
2025-06-18 21:00:00,29.5,80,24.3,0.0
2025-06-18 22:00:00,29.4,81,23.2,0.0
2025-06-18 23:00:00,29.7,82,20.3,0.0
2025-06-19 00:00:00,29.6,82,21.3,0.0
2025-06-19 01:00:00,29.4,83,22.3,0.0
2025-06-19 02:00:00,29.2,84,22.9,0.0
2025-06-19 03:00:00,29.0,84,26.5,0.0
2025-06-19 04:00:00,29.0,82,26.3,0.0
2025-06-19 05:00:00,29.0,83,20.6,0.0
2025-06-19 06:00:00,29.1,80,19.9,0.0
2025-06-19 07:00:00,29.4,78,21.3,0.0
2025-06-19 08:00:00,30.1,75,24.7,0.0
2025-06-19 09:00:00,30.8,72,27.2,0.0
2025-06-19 10:00:00,31.4,70,29.0,0.0
2025-06-19 11:00:00,32.1,67,32.5,0.0
2025-06-19 12:00:00,32.5,65,32.9,0.0
2025-06-19 13:00:00,32.8,64,33.4,0.0
2025-06-19 14:00:00,32.8,64,33.3,0.0
2025-06-19 15:00:00,32.4,67,34.1,0.0
2025-06-19 16:00:00,32.1,68,33.9,0.0
2025-06-19 17:00:00,32.1,71,29.8,0.0
2025-06-19 18:00:00,31.4,75,28.8,0.0
2025-06-19 19:00:00,30.7,78,26.8,0.0
2025-06-19 20:00:00,30.2,80,26.4,0.0
2025-06-19 21:00:00,30.1,81,25.2,0.0
2025-06-19 22:00:00,30.2,79,24.1,0.0
2025-06-19 23:00:00,30.4,83,22.4,0.0
2025-06-20 00:00:00,30.1,84,22.9,0.0
2025-06-20 01:00:00,29.9,84,23.4,0.0
2025-06-20 02:00:00,29.7,86,23.8,0.0
2025-06-20 03:00:00,29.6,86,24.3,0.0
2025-06-20 04:00:00,29.7,85,26.1,0.0
2025-06-20 05:00:00,29.8,83,22.7,0.0
2025-06-20 06:00:00,29.7,84,22.0,0.0
2025-06-20 07:00:00,29.9,82,21.1,0.0
2025-06-20 08:00:00,30.4,79,22.9,0.0
2025-06-20 09:00:00,30.9,76,23.2,0.0
2025-06-20 10:00:00,31.4,74,25.6,0.0
2025-06-20 11:00:00,31.6,73,27.0,0.0
2025-06-20 12:00:00,31.9,72,27.2,0.0
2025-06-20 13:00:00,32.2,70,26.0,0.0
2025-06-20 14:00:00,32.4,69,26.8,0.0
2025-06-20 15:00:00,32.2,71,25.8,0.0
2025-06-20 16:00:00,31.9,72,25.3,0.0
2025-06-20 17:00:00,31.8,73,24.5,0.0
2025-06-20 18:00:00,31.2,75,21.9,0.0
2025-06-20 19:00:00,30.8,77,19.2,0.0
2025-06-20 20:00:00,30.4,80,19.4,0.0
2025-06-20 21:00:00,30.1,80,18.8,0.0
2025-06-20 22:00:00,29.9,81,18.7,0.0
2025-06-20 23:00:00,30.1,83,14.8,0.0
2025-06-21 00:00:00,29.9,85,13.3,0.0
2025-06-21 01:00:00,29.9,84,13.8,0.0
2025-06-21 02:00:00,29.7,85,16.3,0.0
2025-06-21 03:00:00,29.6,85,16.3,0.0
2025-06-21 04:00:00,29.6,82,14.5,0.0
2025-06-21 05:00:00,29.9,83,15.8,0.0
2025-06-21 06:00:00,29.8,83,17.9,0.0
2025-06-21 07:00:00,29.7,85,17.7,0.0
2025-06-21 08:00:00,30.3,82,17.7,0.0
2025-06-21 09:00:00,31.0,77,21.3,0.0
2025-06-21 10:00:00,31.5,75,21.5,0.0
2025-06-21 11:00:00,31.7,74,19.9,0.0
2025-06-21 12:00:00,32.3,72,19.8,0.0
2025-06-21 13:00:00,32.4,71,20.8,0.0
2025-06-21 14:00:00,32.4,72,21.5,0.0
2025-06-21 15:00:00,32.3,72,22.1,0.0
2025-06-21 16:00:00,31.9,74,22.5,0.0
2025-06-21 17:00:00,31.4,75,20.1,0.0
2025-06-21 18:00:00,30.8,78,19.3,0.0
2025-06-21 19:00:00,30.5,79,19.0,0.0
2025-06-21 20:00:00,30.0,82,18.8,0.0
2025-06-21 21:00:00,29.9,82,17.6,0.0
2025-06-21 22:00:00,29.8,83,18.5,0.0
2025-06-21 23:00:00,30.3,83,14.7,0.0
2025-06-22 00:00:00,30.1,85,13.3,0.0
2025-06-22 01:00:00,29.9,87,12.8,0.0
2025-06-22 02:00:00,29.7,88,12.9,0.0
2025-06-22 03:00:00,29.6,88,12.1,0.0
2025-06-22 04:00:00,29.5,89,14.6,0.0
2025-06-22 05:00:00,29.3,88,15.5,0.0
2025-06-22 06:00:00,29.3,88,14.8,0.0
2025-06-22 07:00:00,29.4,86,16.2,0.0
2025-06-22 08:00:00,29.7,84,17.7,0.0
2025-06-22 09:00:00,30.0,81,17.6,0.0
2025-06-22 10:00:00,30.5,78,19.5,0.0
2025-06-22 11:00:00,31.3,76,20.1,0.0
2025-06-22 12:00:00,31.9,74,20.8,0.0
2025-06-22 13:00:00,32.2,72,20.9,0.0
2025-06-22 14:00:00,32.2,72,21.3,0.0
2025-06-22 15:00:00,32.2,73,22.7,0.0
2025-06-22 16:00:00,31.7,75,24.0,0.0
2025-06-22 17:00:00,31.6,76,23.3,0.0
2025-06-22 18:00:00,30.9,80,22.9,0.0
2025-06-22 19:00:00,30.4,82,20.0,0.0
2025-06-22 20:00:00,30.0,84,21.0,0.0
2025-06-22 21:00:00,29.9,85,18.4,0.0
2025-06-22 22:00:00,29.8,85,16.6,0.0
2025-06-22 23:00:00,30.0,86,13.9,0.0
2025-06-23 00:00:00,29.8,87,13.7,0.0
2025-06-23 01:00:00,29.7,87,11.6,0.0
2025-06-23 02:00:00,29.7,87,11.0,0.0
2025-06-23 03:00:00,29.6,87,11.5,0.0
2025-06-23 04:00:00,29.6,87,11.0,0.0
2025-06-23 05:00:00,29.7,88,11.8,0.0
2025-06-23 06:00:00,29.7,88,11.2,0.0
2025-06-23 07:00:00,29.8,87,11.7,0.0
2025-06-23 08:00:00,30.3,83,16.3,0.0
2025-06-23 09:00:00,30.9,79,19.1,0.0
2025-06-23 10:00:00,31.3,77,20.4,0.0
2025-06-23 11:00:00,32.0,75,19.0,0.0
2025-06-23 12:00:00,32.4,73,20.4,0.0
2025-06-23 13:00:00,32.6,71,21.4,0.0
2025-06-23 14:00:00,32.8,70,21.6,0.0
2025-06-23 15:00:00,32.4,72,22.5,0.0
2025-06-23 16:00:00,31.9,73,22.7,0.0
2025-06-23 17:00:00,31.9,73,19.9,0.0
2025-06-23 18:00:00,31.3,76,19.3,0.0
2025-06-23 19:00:00,30.7,79,18.3,0.0
2025-06-23 20:00:00,30.4,82,14.3,0.0
2025-06-23 21:00:00,30.2,82,13.2,0.0
2025-06-23 22:00:00,30.1,82,12.8,0.0
2025-06-23 23:00:00,30.2,86,9.4,0.0
2025-06-24 00:00:00,30.0,86,10.6,0.0
2025-06-24 01:00:00,29.9,87,8.9,0.0
2025-06-24 02:00:00,29.7,89,8.4,0.0
2025-06-24 03:00:00,29.6,89,9.2,0.0
2025-06-24 04:00:00,29.5,90,8.9,0.0
2025-06-24 05:00:00,29.8,86,11.5,0.0
2025-06-24 06:00:00,29.6,87,12.2,0.0
2025-06-24 07:00:00,29.8,86,13.8,0.0
2025-06-24 08:00:00,30.1,84,14.5,0.0
2025-06-24 09:00:00,30.6,79,15.3,0.0
2025-06-24 10:00:00,31.2,76,17.8,0.0
2025-06-24 11:00:00,32.2,72,17.7,0.0
2025-06-24 12:00:00,32.2,72,20.4,0.0
2025-06-24 13:00:00,32.3,71,21.4,0.0
2025-06-24 14:00:00,32.3,69,22.0,0.0
2025-06-24 15:00:00,32.3,70,21.3,0.0
2025-06-24 16:00:00,32.1,71,20.5,0.0
2025-06-24 17:00:00,32.0,72,18.9,0.0
2025-06-24 18:00:00,31.4,75,17.4,0.0
2025-06-24 19:00:00,30.7,80,14.8,0.0
2025-06-24 20:00:00,30.3,83,11.0,0.0
2025-06-24 21:00:00,30.0,85,9.5,0.0
2025-06-24 22:00:00,29.7,88,10.2,0.0
2025-06-24 23:00:00,29.7,89,9.4,0.0
2025-06-25 00:00:00,29.6,90,7.9,0.0
2025-06-25 01:00:00,29.5,90,6.1,0.0
2025-06-25 02:00:00,29.4,90,4.4,0.0
2025-06-25 03:00:00,29.3,91,4.2,0.0
2025-06-25 04:00:00,29.1,91,4.6,0.0
2025-06-25 05:00:00,29.2,91,4.3,0.0
2025-06-25 06:00:00,29.0,91,4.7,0.0
2025-06-25 07:00:00,29.2,90,5.9,0.0
2025-06-25 08:00:00,29.8,86,9.6,0.0
2025-06-25 09:00:00,30.5,81,11.9,0.0
2025-06-25 10:00:00,30.8,79,14.3,0.0
2025-06-25 11:00:00,31.7,74,12.3,0.0
2025-06-25 12:00:00,32.2,71,13.9,0.0
2025-06-25 13:00:00,32.5,70,14.6,0.0
2025-06-25 14:00:00,32.4,70,16.4,0.0
2025-06-25 15:00:00,32.1,72,17.0,0.0
2025-06-25 16:00:00,31.7,73,17.0,0.0
2025-06-25 17:00:00,31.3,77,16.5,0.0
2025-06-25 18:00:00,30.7,80,16.8,0.0
2025-06-25 19:00:00,30.2,82,14.9,0.0
2025-06-25 20:00:00,29.7,84,11.9,0.0
2025-06-25 21:00:00,29.6,86,9.0,0.0
2025-06-25 22:00:00,29.5,87,6.2,0.0
2025-06-25 23:00:00,29.8,87,4.5,0.0
2025-06-26 00:00:00,29.6,87,3.7,0.0
2025-06-26 01:00:00,29.6,88,1.4,0.0
2025-06-26 02:00:00,29.5,89,1.5,0.0
2025-06-26 03:00:00,29.5,89,2.6,0.0
2025-06-26 04:00:00,29.5,88,3.1,0.0
2025-06-26 05:00:00,29.6,88,1.8,0.0
2025-06-26 06:00:00,29.6,88,1.5,0.0
2025-06-26 07:00:00,29.8,86,1.9,0.0
2025-06-26 08:00:00,30.5,81,1.0,0.0
2025-06-26 09:00:00,31.5,75,2.3,0.0
2025-06-26 10:00:00,32.3,71,5.4,0.0
2025-06-26 11:00:00,33.4,67,7.0,0.0
2025-06-26 12:00:00,33.6,67,10.4,0.0
2025-06-26 13:00:00,33.5,68,13.6,0.0
2025-06-26 14:00:00,33.4,68,16.1,0.0
2025-06-26 15:00:00,33.2,70,18.0,0.0
2025-06-26 16:00:00,32.4,74,19.5,0.0
2025-06-26 17:00:00,31.8,79,18.4,0.0
2025-06-26 18:00:00,31.1,83,18.0,0.0
2025-06-26 19:00:00,30.7,83,15.6,0.0
2025-06-26 20:00:00,30.3,85,12.2,0.0
2025-06-26 21:00:00,30.1,87,10.2,0.0
2025-06-26 22:00:00,30.0,87,10.0,0.0
2025-06-26 23:00:00,30.0,88,5.5,0.0
2025-06-27 00:00:00,29.8,89,4.7,0.0
2025-06-27 01:00:00,29.7,90,4.7,0.0
2025-06-27 02:00:00,29.7,89,5.6,0.0
2025-06-27 03:00:00,29.6,89,6.2,0.0
2025-06-27 04:00:00,29.5,89,6.3,0.0
2025-06-27 05:00:00,29.1,90,8.0,0.0
2025-06-27 06:00:00,29.1,89,8.2,0.0
2025-06-27 07:00:00,29.3,88,7.1,0.0
2025-06-27 08:00:00,29.9,85,6.5,0.0
2025-06-27 09:00:00,31.0,78,6.7,0.0
2025-06-27 10:00:00,31.8,73,8.9,0.0
2025-06-27 11:00:00,30.3,83,12.2,0.0
2025-06-27 12:00:00,30.8,79,12.3,0.3
2025-06-27 13:00:00,30.7,78,10.7,0.2
2025-06-27 14:00:00,30.5,81,12.1,0.2
2025-06-27 15:00:00,30.4,81,14.3,0.0
2025-06-27 16:00:00,30.3,80,15.0,0.0
2025-06-27 17:00:00,29.7,80,11.8,0.0
2025-06-27 18:00:00,29.4,82,13.6,0.0
2025-06-27 19:00:00,29.0,85,13.3,0.0
2025-06-27 20:00:00,28.9,86,14.1,0.2
2025-06-27 21:00:00,28.9,86,13.7,1.0
2025-06-27 22:00:00,28.9,87,13.8,2.9
2025-06-27 23:00:00,28.6,89,10.7,0.8
2025-06-28 00:00:00,28.4,91,11.2,2.0
2025-06-28 01:00:00,28.3,92,12.0,2.2
2025-06-28 02:00:00,28.4,91,15.2,1.0
2025-06-28 03:00:00,28.5,90,13.2,0.3
2025-06-28 04:00:00,28.4,89,13.4,0.9
2025-06-28 05:00:00,28.6,90,11.6,0.0
2025-06-28 06:00:00,28.6,90,12.4,0.0
2025-06-28 07:00:00,28.4,90,11.5,1.4
2025-06-28 08:00:00,28.3,89,10.5,2.3
2025-06-28 09:00:00,28.6,87,10.8,1.4
2025-06-28 10:00:00,28.9,86,11.2,1.1
2025-06-28 11:00:00,28.9,84,15.5,0.9
2025-06-28 12:00:00,28.9,82,16.4,1.3
2025-06-28 13:00:00,29.2,78,16.9,1.1
2025-06-28 14:00:00,29.3,78,18.5,1.1
2025-06-28 15:00:00,29.5,78,19.5,1.2
2025-06-28 16:00:00,29.2,78,17.7,1.8
2025-06-28 17:00:00,29.1,82,15.8,1.2
2025-06-28 18:00:00,28.9,83,14.9,1.6
2025-06-28 19:00:00,28.8,82,15.5,0.2
2025-06-28 20:00:00,28.5,84,13.6,0.3
2025-06-28 21:00:00,28.4,87,12.9,0.9
2025-06-28 22:00:00,28.6,84,12.5,0.0
2025-06-28 23:00:00,28.8,86,5.4,0.0
